Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,19582,0,3,8.29010611798794,1.5103000041563064,960.9864999947604,896.0,32.67053406762393,0.0,3,4,4,4,6,18,65,150,430,960,960
GET,/stub_status,3911,3911,3,8.01610028120971,1.5951000095810741,971.3030999992043,153.0,6.525097474133245,6.525097474133245,3,4,4,4,6,16,62,150,410,970,970
,Aggregated,23493,3911,3,8.24449096336147,1.5103000041563064,971.3030999992043,772.3089856553016,39.19563154175718,6.525097474133245,3,4,4,4,6,18,64,150,420,960,970
