Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,19540,0,3,15.092706346064041,1.5559000021312386,1386.8592999933753,896.0,32.637940601868074,0.0,3,4,4,5,8,36,170,370,920,1300,1400
GET,/stub_status,3916,3916,3,15.00054006609704,1.5547999937552959,1120.763300015824,153.0,6.540950634437839,6.540950634437839,3,4,4,5,9,42,190,360,840,1100,1100
,Aggregated,23456,3916,3,15.077319103893561,1.5547999937552959,1386.8592999933753,771.9554911323329,39.17889123630591,6.540950634437839,3,4,4,5,8,37,170,360,910,1300,1400
