Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,83854,7220,5,392.601058669858,1.2920000008307397,200898.14429999387,818.8525770982899,155.53885413332023,13.39221178289136,5,7,10,15,59,2000,2000,2100,183000,201000,201000
GET,/stub_status,16808,1468,5,483.85126003092313,1.332100000581704,200893.15929998702,139.63707758210376,31.17677225025457,2.722959404056027,5,7,11,16,49,2000,2000,2100,194000,201000,201000
,Aggregated,100662,8688,5,407.837527093662,1.2920000008307397,200898.14429999387,705.4408217599491,186.7156263835748,16.115171186947386,5,7,11,15,58,2000,2000,2100,183000,201000,201000
