Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,49780,0,3,17.268604955726772,1.2941000168211758,1845.172300003469,896.0,51.925671987887775,0.0,3,4,4,4,7,29,180,450,1400,1800,1800
GET,/stub_status,9925,9925,3,18.113049592102012,1.361000002361834,1837.5149000203237,153.0,10.352798201683129,10.352798201683129,3,4,4,4,8,34,220,500,1400,1800,1800
,Aggregated,59705,9925,3,17.408980351690666,1.2941000168211758,1845.172300003469,772.4881500711833,62.2784701895709,10.352798201683129,3,4,4,4,7,30,190,460,1400,1800,1800
