Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,98843,0,3,5.226464611492719,1.178200007416308,419.0970999770798,896.0,164.89979643304497,0.0,3,3,4,4,5,8,27,64,300,390,420
GET,/stub_status,19804,19804,3,5.166722379275174,1.1602999875321984,411.8499000032898,153.0,33.03901711360463,33.03901711360463,3,3,4,4,5,8,27,62,280,410,410
,Aggregated,118647,19804,3,5.216492718677593,1.1602999875321984,419.0970999770798,771.9819295894545,197.9388135466496,33.03901711360463,3,3,4,4,5,8,27,64,290,390,420
