Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,78443,0,3,9.529928810741874,1.2882000009994954,1574.9347000091802,896.0,131.0312693062775,0.0,3,4,4,5,15,28,58,110,1100,1500,1600
GET,/stub_status,15703,15703,3,10.432838890810586,1.345600001513958,1550.643199996557,153.0,26.23030763632798,26.23030763632798,3,4,4,5,16,29,62,110,1300,1500,1600
,Aggregated,94146,15703,3,9.6805289104521,1.2882000009994954,1574.9347000091802,772.0719626962377,157.26157694260547,26.23030763632798,3,4,4,5,15,28,59,110,1100,1500,1600
