Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,80464,0,3,4.593696081436384,1.1634000111371279,494.21440000878647,896.0,134.33476614326742,0.0,3,3,4,4,5,7,21,38,260,460,490
GET,/stub_status,16224,16224,3,4.52400620071114,1.2761999969370663,432.49639999703504,153.0,27.085991821291145,27.085991821291145,3,3,4,4,5,7,21,39,240,420,430
,Aggregated,96688,16224,3,4.582002297048597,1.1634000111371279,494.21440000878647,771.3264934635115,161.42075796455856,27.085991821291145,3,3,4,4,5,7,21,38,260,450,490
