Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,84009,7380,5,359.71019693722116,1.3000000035390258,198655.07329998945,817.2884333821377,155.73626159068186,13.681077152914952,5,8,13,18,120,2000,2000,2100,14000,199000,199000
GET,/stub_status,16738,1459,5,325.809093362536,1.2997000012546778,198644.38329999393,139.6634603895328,31.028979591529872,2.704700754214487,5,8,14,18,110,2000,2000,2100,14000,199000,199000
,Aggregated,100747,8839,5,354.0779034532191,1.2997000012546778,198655.07329998945,704.7085372269149,186.76524118221175,16.385777907129437,5,8,13,18,120,2000,2000,2100,14000,199000,199000
